Date,Temp,MinTemp,MaxTemp,Press,MinPress,MaxPress,Humid,MinHumid,MaxHumid,Dew,MinDew,MaxDew,WindSpd,Gust,WindDir,Rad,Rain
2000-05-07,22.4,16.5,28.3,443.37916666666666,886.8,888.4,24.208333333333332,33.0,69.0,6.691666666666666,9.4,16.1,34.992000000000004,6.3,64.54166666666667,783.3333333333334,0.0
2000-05-08,22.104166666666668,16.5,28.2,888.0625,886.8,890.2,60.5,33.0,86.0,13.533333333333333,9.4,17.0,51.84,7.1,117.0,891.9166666666666,0.0
2000-05-09,22.041666666666668,16.6,28.7,888.0833333333334,886.7,890.1,58.791666666666664,37.0,79.0,13.229166666666666,11.9,16.2,41.47200000000001,7.0,157.5,723.3333333333334,0.0
2000-05-10,22.462500000000002,17.7,28.9,888.9625,887.6,890.9,61.75,35.0,82.0,14.341666666666667,11.3,16.6,49.248,6.3,159.29166666666666,819.2083333333334,0.0
2000-05-11,21.329166666666666,16.6,27.3,888.4958333333334,886.9,890.2,62.416666666666664,35.0,80.0,13.491666666666667,9.8,14.8,51.84,7.3,146.08333333333334,837.6666666666666,0.0
2000-05-12,20.166666666666668,15.2,26.5,888.3291666666668,887.0,890.3,65.0,42.0,79.0,13.1,11.2,15.6,55.728,7.3,112.79166666666667,828.375,0.0
2000-05-13,18.945833333333333,13.7,24.7,888.75,887.4,890.8,67.25,43.0,86.0,12.341666666666667,10.9,14.1,58.32,7.8,108.45833333333333,871.0833333333334,0.0
2000-05-14,18.691666666666666,13.7,25.0,888.6750000000001,886.7,890.7,61.875,34.0,84.0,10.625,7.7,12.3,77.76,8.8,96.625,888.0416666666666,0.0
2000-05-15,19.004166666666666,11.8,26.3,887.4416666666666,885.0,889.6,59.625,28.0,89.0,10.308333333333334,5.8,12.6,46.656000000000006,7.8,83.20833333333333,872.5,0.0
2000-05-16,19.758333333333333,13.8,26.7,886.3249999999999,884.8,888.3,57.25,29.0,81.0,10.483333333333333,7.0,13.1,41.47200000000001,6.4,202.41666666666666,866.7916666666666,0.0
2000-05-17,20.1125,14.0,27.1,886.9916666666667,885.0,889.2,56.791666666666664,32.0,80.0,10.725,8.6,12.8,37.583999999999996,8.7,289.8333333333333,847.25,0.0
2000-05-18,19.833333333333332,15.8,26.0,886.6958333333333,884.9,888.6,68.125,48.0,89.0,13.545833333333334,10.9,16.0,41.47200000000001,5.9,237.875,703.7916666666666,0.0
2000-05-19,20.6,14.8,26.4,702.6541666666667,890.2,889.6,54.25,40.0,85.0,9.670833333333333,10.9,14.3,36.288000000000004,5.9,163.33333333333334,572.4583333333334,0.0
2000-05-20,20.4,14.8,26.0,296.8041666666667,890.2,891.7,18.833333333333332,40.0,67.0,4.7375,10.9,15.7,57.02400000000001,7.6,34.708333333333336,406.0,0.0
2000-05-21,20.4,14.8,26.0,296.8041666666667,890.2,891.7,18.833333333333332,40.0,67.0,4.7375,10.9,15.7,57.02400000000001,7.6,34.708333333333336,406.0,0.0
2000-05-22,20.4,14.8,26.0,296.8041666666667,890.2,891.7,18.833333333333332,40.0,67.0,4.7375,10.9,15.7,57.02400000000001,7.6,34.708333333333336,406.0,0.0
2000-05-23,20.0625,14.8,25.8,891.5,890.2,893.2,68.25,40.0,92.0,13.604166666666666,10.9,14.7,57.02400000000001,8.4,101.66666666666667,794.125,0.0
2000-05-24,19.133333333333333,14.7,24.5,890.9375,888.9,892.9,64.25,36.0,85.0,11.708333333333334,8.1,13.5,68.688,8.6,106.25,835.5,0.0
2000-05-25,17.754166666666666,11.8,24.9,889.6291666666666,888.0,891.4,62.166666666666664,31.0,84.0,9.775,6.4,11.7,62.208000000000006,9.1,106.5,849.9166666666666,0.0
2000-05-26,19.175,12.2,26.4,888.9875000000001,887.4,890.3,56.375,29.0,92.0,9.404166666666667,5.5,12.6,55.728,7.5,129.0,729.3333333333334,0.0
2000-05-27,19.8625,12.2,26.8,887.6791666666667,885.5,889.4,50.291666666666664,26.0,81.0,8.416666666666666,5.1,11.7,34.992000000000004,5.3,180.29166666666666,817.5,0.0
2000-05-28,20.245833333333334,13.7,27.1,886.4208333333332,884.8,888.2,51.125,30.0,74.0,9.316666666666666,7.3,13.0,27.216,6.5,202.95833333333334,610.25,0.0
2000-05-29,20.391666666666666,14.0,26.3,885.6875,884.4,887.3,62.291666666666664,35.0,91.0,12.424999999999999,8.9,15.5,40.176,5.0,153.08333333333334,614.2916666666666,0.0
2000-05-30,21.008333333333333,14.1,28.0,886.9083333333333,885.4,889.2,55.5,20.0,87.0,10.479166666666666,2.7,14.3,32.4,7.3,170.25,770.875,0.0
2000-05-31,21.041666666666668,14.6,27.6,886.7333333333332,885.3,888.3,55.583333333333336,30.0,85.0,11.1,7.2,14.2,32.4,5.4,223.79166666666666,632.6666666666666,0.0
2000-06-01,20.7,14.6,26.8,628.7875,888.7,889.5,42.375,30.0,79.0,8.299999999999999,7.7,13.0,42.768,5.8,107.70833333333333,482.4166666666667,0.0
2000-06-02,20.95,14.6,27.3,333.09166666666664,888.7,890.3,15.791666666666666,30.0,52.0,4.154166666666667,7.7,13.6,44.064,6.6,37.333333333333336,448.6666666666667,0.0
